time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
8571.001921	330.170746	0.989596	0.003601	183
8573.061414	150.387909	-0.987953	-0.003318	185
8575.119078	150.443680	-0.984064	-0.003053	187
8577.180331	330.471588	0.979276	0.002709	189
8579.239270	150.407684	-0.973250	-0.002412	191
8581.302812	150.391251	-0.968292	-0.002339	193
8583.365795	150.494598	-0.962134	-0.002644	195
8585.429496	150.744431	-0.960608	-0.002663	197
8587.490487	150.870438	-0.956750	-0.001596	199
8589.548554	150.487961	-0.952279	-0.000647	201
8591.605439	149.987259	-0.944353	-0.000602	203
8593.666689	150.142166	-0.933664	-0.002383	205
8595.731589	150.804520	-0.931067	-0.001551	207
8597.792734	150.728546	-0.933323	0.000436	209
8599.848552	149.934067	-0.926822	-0.000012	211
8601.910365	149.990082	-0.913530	-0.001801	213
8603.974718	150.781921	-0.909889	-0.001226	215
8606.036164	150.725601	-0.912854	0.000578	217
8608.092463	150.142807	-0.905434	0.000697	219
8610.148548	149.884018	-0.898328	-0.000213	221
8612.212493	150.063828	-0.889273	-0.000598	223
8614.277239	150.380600	-0.885209	0.000054	225
8616.338923	150.420837	-0.882082	0.000063	227
8618.403135	150.329773	-0.878266	0.000475	229
8620.463511	150.295853	-0.874330	0.000548	231
8622.524504	150.247925	-0.867496	0.000515	233
8624.584482	150.176193	-0.860847	0.000725	235
8626.644890	150.100723	-0.855038	0.000897	237
8628.702643	150.084579	-0.850897	0.000704	239
8630.761809	150.270737	-0.845891	0.000662	241
8632.818828	150.529312	-0.841519	0.000773	243
8634.880513	150.607941	-0.834182	0.001270	245
8636.942902	150.374084	-0.827075	0.001800	247
8639.007596	149.852371	-0.822485	0.001572	249
8641.069122	149.851639	-0.822197	0.000397	251
8643.122702	150.330154	-0.822288	0.000406	253
8645.183336	150.762375	-0.812796	0.001489	255
8647.243557	150.509644	-0.804081	0.002163	1
8649.310712	150.014587	-0.799637	0.002156	3
8651.374290	149.908569	-0.798279	0.001598	5
8653.430664	150.039169	-0.796043	0.001359	7
8655.489092	150.292191	-0.791652	0.001705	9
8657.547407	150.387009	-0.786771	0.002139	11
8659.608540	150.391113	-0.780546	0.002193	13
8661.666878	150.429230	-0.774658	0.002145	15
8663.730290	150.324493	-0.770893	0.002304	17
8665.790135	150.239456	-0.765238	0.002430	19
8667.848418	150.132217	-0.758693	0.002600	21
8669.910976	150.011963	-0.757708	0.002192	23
8671.970607	150.095825	-0.752461	0.002344	25
8674.035209	150.221909	-0.746052	0.002138	27
8676.097967	150.471130	-0.741023	0.002439	29
8678.162181	150.623016	-0.737200	0.002968	31
8680.217672	150.488724	-0.736366	0.003328	33
8682.274928	150.121902	-0.733687	0.003276	35
8684.334579	149.785629	-0.726461	0.002975	37
8686.394494	149.838684	-0.719228	0.002389	39
8688.459731	150.160187	-0.715085	0.002520	41
8690.521940	150.454697	-0.711194	0.002979	43
8692.585308	150.478500	-0.708558	0.003464	45
8694.644365	150.315536	-0.706144	0.003260	47
8696.701043	150.118988	-0.702631	0.003450	49
8698.761245	149.993973	-0.697815	0.003189	51
8700.818687	149.954575	-0.691446	0.003124	53
8702.876279	149.947617	-0.687512	0.003189	55
8704.937226	150.020523	-0.683178	0.003351	57
8706.995731	150.045395	-0.679557	0.003075	59
8709.060739	150.102112	-0.676265	0.003222	61
8711.121353	150.168045	-0.673082	0.003288	63
8713.180470	150.232803	-0.668675	0.003602	65
8715.246104	150.217224	-0.662007	0.003671	67
8717.306654	150.045654	-0.658348	0.003793	69
8719.368960	149.865891	-0.654419	0.003750	71
8721.434248	149.729233	-0.650409	0.003403	73
8723.491745	149.805893	-0.649090	0.003363	75
8725.544172	149.948441	-0.647034	0.003008	77
8727.603150	150.275513	-0.642907	0.003425	79
8729.665037	150.351562	-0.638324	0.003528	81
8731.725280	150.313721	-0.631963	0.004211	83
8733.790384	150.091934	-0.626393	0.004086	85
8735.851524	149.896484	-0.622015	0.003758	87
8737.917159	149.828156	-0.620232	0.003768	89
8739.975937	149.912491	-0.617043	0.003636	91
8742.036869	149.953445	-0.613671	0.003675	93
8744.089241	149.979309	-0.610027	0.003721	95
8746.155667	150.002258	-0.605607	0.003990	97
8748.216160	149.992981	-0.602318	0.003763	99
8750.277245	150.083939	-0.598643	0.003971	101
8752.337348	150.126389	-0.595065	0.003892	103
8754.403213	150.180740	-0.591344	0.003833	105
8756.460408	150.299408	-0.588632	0.003851	107
8758.516466	150.256226	-0.583416	0.004086	109
8760.579034	150.178360	-0.581516	0.004025	111
8762.633598	149.919800	-0.578292	0.003978	113
8764.690624	149.696671	-0.574231	0.004139	115
8766.751966	149.557526	-0.568134	0.003768	117
8768.812196	149.594757	-0.564668	0.003458	119
8770.873362	149.812912	-0.560539	0.003627	121
8772.936577	150.094009	-0.558080	0.003679	123
8774.998527	150.187500	-0.556008	0.003795	125
8777.066184	150.189697	-0.552172	0.003850	127
8779.126658	150.149734	-0.550019	0.003949	129
8781.181124	149.995544	-0.547279	0.003650	131
8783.239806	150.104248	-0.542162	0.004342	133
8785.299407	149.954422	-0.538232	0.003820	135
8787.360168	149.924713	-0.534470	0.003823	137
8789.421069	149.838379	-0.530661	0.003882	139
8791.481521	149.966797	-0.527494	0.003885	141
8793.539003	149.859955	-0.523149	0.003588	143
8795.605757	149.758423	-0.520292	0.003837	145
8797.666625	149.663071	-0.515982	0.003719	147
8799.722559	149.583450	-0.514388	0.003338	149
8801.784642	149.514679	-0.510069	0.004040	151
8803.853601	149.444565	-0.507836	0.003589	153
8805.902900	149.714050	-0.507173	0.003107	155
8807.962134	149.770660	-0.503733	0.002825	157
8810.020078	150.042877	-0.501720	0.003624	159
8812.074295	150.052414	-0.497721	0.003599	161
8814.138676	150.114044	-0.493905	0.003363	163
8816.198961	149.826874	-0.487840	0.003693	165
8818.265466	149.802536	-0.487463	0.003325	167
8820.332557	149.808853	-0.483108	0.003518	169
8822.391628	149.657440	-0.481236	0.003264	171
8824.453791	149.740585	-0.478349	0.003425	173
8826.509640	149.760483	-0.474732	0.003387	175
8828.568476	149.762009	-0.471549	0.003292	177
8830.640678	149.836090	-0.470336	0.003343	179
8832.695844	149.893967	-0.466435	0.003279	181
8834.753194	149.923203	-0.463135	0.003298	183
8836.812080	150.138199	-0.459743	0.004236	185
8838.869415	149.955750	-0.459700	0.003286	187
8840.929931	149.805176	-0.455926	0.003438	189
8842.986966	149.636673	-0.456591	0.003398	191
8845.039831	149.471649	-0.451892	0.003139	193
8847.098297	149.378082	-0.447672	0.002899	195
8849.161871	149.398743	-0.444556	0.002952	197
8851.217987	149.537415	-0.441692	0.002795	199
8853.285111	149.702728	-0.436893	0.002982	201
8855.346136	149.782944	-0.434457	0.002936	203
8857.418432	149.865723	-0.432732	0.003003	205
8859.473725	149.847351	-0.429632	0.002885	207
8861.536343	149.851776	-0.428320	0.002837	209
8863.598672	149.792297	-0.423757	0.002915	211
8865.659555	149.705688	-0.421347	0.002963	213
8867.719519	149.730942	-0.419596	0.002729	215
8869.787211	59.476013	-0.001831	0.100000	217
8872.833521	329.627594	-0.414405	0.002715	219
8874.898355	329.654633	-0.410188	0.002833	221
8880.068065	239.471100	0.004528	0.000690	223
8894.477880	244.052948	-0.005755	0.034648	225
8896.549405	150.021439	-0.343145	0.002872	227
8898.486491	150.154770	-0.345502	0.003292	229
8900.567687	149.936020	-0.345078	0.002748	231
8902.632218	149.931015	-0.343181	0.002605	233
8904.686411	149.874039	-0.342202	0.002803	235
8906.749915	149.838013	-0.337652	0.002441	237
8908.797060	149.907623	-0.335133	0.002701	239
8910.870312	149.865997	-0.337671	0.002562	241
8912.934055	149.972427	-0.336545	0.002820	243
