crossing time (s)	slope (V/s)	crossing number
2634.524733	-111.234119	2649
2635.652605	-119.642682	2650
2636.726479	-106.875600	2651
2637.653861	-106.910993	2652
2638.632610	-109.438816	2653
2639.679037	-104.083504	2654
2640.680570	-103.753843	2655
2641.738393	-97.388925	2656
2642.814260	-99.861655	2657
2643.895606	-96.581333	2658
2644.850192	-97.047518	2659
2645.942372	-91.811737	2660
2646.922918	-90.236871	2661
2648.059501	-88.461808	2662
2649.001382	-83.240932	2663
2650.025326	-84.014010	2664
2651.109483	-84.814157	2665
2652.136216	-76.733606	2666
2653.122903	-78.991619	2667
2654.103867	-73.889912	2668
2655.287783	-74.564740	2669
2656.259401	-74.276929	2670
2657.417772	-68.772775	2671
2658.301118	-68.928581	2672
2659.341248	-63.982349	2673
2660.387712	-63.240102	2674
2661.425861	-65.422641	2675
2662.493709	-61.873893	2676
2663.450170	-58.205673	2677
2664.551864	-57.740959	2678
2665.567184	-58.974271	2679
2666.640715	-53.446287	2680
2667.630903	-55.510771	2681
2668.698584	-54.152947	2682
2669.667247	-51.167003	2683
2670.649410	-47.868409	2684
2671.747381	-46.813048	2685
2672.883826	-46.225887	2686
2673.899671	-44.375391	2687
2674.907649	-44.853328	2688
2675.919160	-43.576013	2689
2676.973538	-44.500470	2690
2677.896557	-44.346082	2691
2678.974694	-42.420889	2692
2680.105681	-40.340351	2693
2681.066460	-37.103739	2694
2682.025536	-38.535977	2695
2683.150180	-36.351382	2696
2684.147716	-35.011685	2697
2685.290480	-32.893972	2698
2686.236441	-34.242947	2699
2687.270221	-31.486070	2700
2688.305233	-31.055698	2701
2689.275625	-29.421346	2702
2690.371533	-28.233667	2703
2691.421957	-28.972478	2704
2692.444734	-29.699853	2705
2693.476547	-27.056968	2706
2694.502199	-28.169931	2707
2695.503963	-28.288610	2708
2696.546320	-24.442793	2709
2697.585221	-26.978935	2710
2698.667133	-25.808805	2711
2699.720258	-25.537738	2712
2700.714409	-18.592780	2713
2701.675037	-18.758487	2714
2702.842549	-26.340485	2715
2703.748128	-23.845276	2716
2704.876368	-21.330194	2717
2705.870885	-18.994140	2718
2706.847430	-18.673646	2719
2707.976894	-14.764570	2720
2708.936022	-17.035451	2721
2709.895740	-19.344803	2722
2711.046552	-14.713136	2723
2712.054051	-15.528499	2724
2713.131367	-17.360818	2725
2714.115236	-13.852423	2726
2715.206407	-12.003477	2727
2716.138987	-12.595886	2728
2717.259972	-17.578598	2729
2718.272083	-15.506144	2730
2719.287347	-12.124991	2731
2720.259807	-12.942039	2732
2721.386237	-15.105508	2733
2722.390858	-12.508333	2734
2723.443578	-12.418457	2735
2724.405347	-12.282143	2736
2725.484961	-12.772827	2737
2726.532218	-10.626857	2738
2727.536785	-13.113104	2739
2728.577865	-9.779718	2740
2729.591951	-10.764195	2741
2730.668475	-10.158964	2742
2731.669181	-11.784998	2743
2732.742891	-8.444127	2744
