time (s)	det(V)
4280.590256	1.707448	
4280.591987	1.706908	
4280.593456	1.707198	
4280.595178	1.707053	
4280.596664	1.707194	
4280.598372	1.706605	
4280.599855	1.707355	
4280.601564	1.707298	
4280.603048	1.707302	
4280.604752	1.706545	
4280.606267	1.706984	
4280.607930	1.706895	
4280.609460	1.706686	
4280.611110	1.707294	
4280.612654	1.706803	
4280.614268	1.701224	
4280.615855	1.697562	
4280.617431	1.698557	
4280.619031	1.684148	
4280.620567	1.643675	
4280.622225	1.578936	
4280.623702	1.383184	
4280.625407	1.244017	
4280.626883	1.150210	
4280.628590	0.958103	
4280.630067	0.872715	
4280.631775	0.690836	
4280.633260	0.508857	
4280.634965	0.413777	
4280.636458	0.184400	
4280.638196	0.155295	
4280.639683	-0.247617	
4280.641379	-0.104701	
4280.642887	-0.507226	
4280.644550	-0.325110	
4280.646084	-0.562720	
4280.647729	-0.752092	
4280.649295	-0.903976	
4280.650883	-0.951324	
4280.652481	-1.293188	
4280.654034	-1.226515	
4280.655655	-1.495595	
4280.657180	-1.529739	
4280.658857	-1.533469	
4280.660336	-1.539641	
4280.662049	-1.541631	
4280.663534	-1.543923	
4280.665238	-1.541679	
4280.666725	-1.543842	
4280.668444	-1.542779	
4280.669929	-1.544060	
4280.671633	-1.541800	
4280.673114	-1.543971	
4280.674815	-1.542303	
4280.676301	-1.542134	
4280.677963	-1.542932	
4280.679474	-1.543814	
4280.681113	-1.543141	
4280.682682	-1.543242	
4280.684272	-1.542908	
4280.685872	-1.544092	
4280.687460	-1.533791	
4280.689071	-1.541743	
4280.690625	-1.544060	
4280.692262	-1.540245	
4280.693764	-1.544104	
4280.695469	-1.543125	
4280.696958	-1.544225	
4280.698691	-1.542992	
4280.700163	-1.542654	
4280.701889	-1.542742	
4280.703372	-1.544148	
4280.705090	-1.543137	
4280.706575	-1.543580	
4280.708279	-1.543407	
4280.709767	-1.544124	
4280.711453	-1.542642	
4280.712953	-1.544132	
4280.714615	-1.542666	
4280.716135	-1.544164	
4280.717797	-1.543596	
4280.719342	-1.544221	
4280.720967	-1.543206	
4280.722534	-1.543882	
4280.724124	-1.543931	
4280.725713	-1.544205	
4280.727282	-1.544027	
4280.728921	-1.544245	
4280.730422	-1.540297	
4280.732138	-1.543951	
4280.733616	-1.544144	
