time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5681.933595	331.043762	1.182711	-0.005340	147
5683.994700	330.841736	1.172907	-0.006274	149
5686.055551	330.558075	1.163473	-0.006195	151
5688.118059	330.461914	1.152109	-0.005962	153
5690.184630	330.459320	1.134953	-0.006162	155
5692.250068	330.668671	1.125117	-0.006683	157
5694.316654	330.999969	1.114064	-0.006941	159
5696.381325	331.115234	1.104216	-0.007427	161
5698.446860	331.138916	1.096243	-0.007829	163
5700.509134	331.040985	1.087481	-0.008027	165
5702.571551	330.970428	1.079528	-0.008175	167
5704.635271	330.855438	1.066823	-0.008272	169
5706.698239	330.824219	1.057774	-0.008504	171
5708.760777	330.806885	1.045959	-0.008823	173
5710.823855	330.802216	1.037984	-0.009050	175
5712.887274	150.820221	-1.025602	0.009055	177
5714.953575	150.746933	-1.015318	0.009082	179
5717.016873	150.648712	-1.005599	0.009451	181
5719.082837	150.620895	-0.996093	0.009808	183
5721.148135	150.468582	-0.986599	0.009643	185
5723.211700	150.459564	-0.980067	0.009631	187
5725.273274	150.473969	-0.971721	0.009661	189
5727.334862	150.564270	-0.962574	0.009665	191
5729.393300	150.698318	-0.955522	0.010129	193
5731.455597	150.866806	-0.946378	0.010337	195
5733.517659	150.976181	-0.935871	0.010308	197
5735.584203	150.951004	-0.924827	0.010771	199
5737.649105	150.902420	-0.916559	0.010773	201
5739.715382	150.778519	-0.904911	0.010590	203
5741.781517	150.688309	-0.895736	0.010723	205
5743.846405	150.650635	-0.885368	0.010729	207
5745.910720	150.635971	-0.876640	0.010885	209
5747.974397	150.631714	-0.867618	0.010813	211
5750.035754	150.725372	-0.859293	0.010804	213
5752.099635	150.720139	-0.851037	0.010990	215
5754.165104	150.813293	-0.842740	0.010951	217
5756.226481	150.753860	-0.833735	0.011191	219
5758.290872	150.795959	-0.825210	0.011383	221
5760.349507	150.700897	-0.817681	0.011370	223
5762.412268	150.613251	-0.809904	0.011513	225
5764.472164	150.442871	-0.801862	0.011392	227
5766.533047	150.290558	-0.791758	0.011152	229
5768.596730	150.090836	-0.779987	0.011002	231
5770.662342	150.156265	-0.772050	0.011510	233
5772.729764	150.308945	-0.762547	0.011144	235
5774.793561	150.489059	-0.755601	0.011128	237
5776.862346	150.691315	-0.747335	0.011221	239
5778.925717	150.784027	-0.738802	0.011599	241
5780.987752	150.746841	-0.733067	0.011444	243
5783.052417	150.695633	-0.727368	0.011586	245
5785.116966	150.649506	-0.721513	0.011270	247
5787.180546	150.612137	-0.713523	0.011381	249
5789.241772	150.552505	-0.707045	0.011282	251
5791.306930	150.527344	-0.698633	0.011189	253
5793.369595	150.490570	-0.691387	0.010946	255
5795.433536	150.379883	-0.682897	0.010889	1
5797.494754	150.340012	-0.677158	0.010852	3
5799.559681	150.285172	-0.670215	0.010738	5
5801.624154	150.261993	-0.662908	0.010843	7
5803.684909	150.189697	-0.657523	0.010714	9
5805.745629	150.211746	-0.653434	0.010552	11
5807.805412	150.308151	-0.645265	0.010345	13
5809.863569	150.408295	-0.639982	0.010387	15
5811.926237	150.521103	-0.632245	0.010393	17
5813.987453	150.587204	-0.624205	0.010329	19
5816.049454	150.594681	-0.616324	0.010434	21
5818.113489	150.622391	-0.609114	0.010496	23
5820.183503	150.565857	-0.601838	0.009975	25
5822.243555	150.504288	-0.594177	0.010082	27
5824.313159	150.488510	-0.588226	0.010053	29
5826.375832	150.445938	-0.581169	0.009960	31
5828.442999	150.430649	-0.575943	0.009752	33
5830.506584	150.475601	-0.569909	0.009542	35
5832.566883	150.455841	-0.563344	0.009640	37
5834.630957	150.464737	-0.558681	0.009398	39
5836.694734	150.475159	-0.552067	0.009606	41
5838.753367	150.401611	-0.547456	0.009491	43
5840.813393	150.330536	-0.541157	0.009591	45
5842.871977	150.165939	-0.535731	0.009605	47
5844.937016	150.042755	-0.530023	0.009093	49
5846.993292	149.874985	-0.523553	0.009138	51
5849.053237	149.821014	-0.517293	0.009150	53
5851.120847	149.869064	-0.510947	0.008917	55
5853.193997	150.028351	-0.504404	0.008756	57
5855.260502	150.126038	-0.497547	0.008848	59
5857.326855	150.247681	-0.493137	0.008784	61
5859.394324	150.454407	-0.487873	0.008938	63
5861.460582	150.483795	-0.481861	0.008588	65
5863.519024	150.498047	-0.478031	0.008792	67
5865.580481	150.447952	-0.471767	0.008649	69
5867.643823	150.418030	-0.466368	0.008351	71
5869.715715	150.317352	-0.460044	0.008424	73
5871.772609	150.298325	-0.454382	0.008142	75
5873.838493	150.252502	-0.450516	0.007941	77
5875.904140	150.139297	-0.446205	0.007851	79
5877.963489	150.149445	-0.441801	0.007818	81
5880.031693	150.076004	-0.436245	0.007694	83
5882.088536	150.030640	-0.433065	0.007580	85
5884.151556	149.924759	-0.429640	0.007406	87
5886.211216	150.079666	-0.425642	0.007367	89
5888.266306	150.047867	-0.420291	0.007021	91
5890.323709	150.204193	-0.416094	0.007295	93
5892.379302	150.241623	-0.411402	0.006987	95
5894.443035	150.299179	-0.405869	0.006962	97
5896.504625	150.348236	-0.400765	0.007062	99
5898.570187	150.329071	-0.395363	0.007278	101
5900.640317	150.393158	-0.391293	0.006778	103
5902.697505	150.286926	-0.387398	0.007042	105
5904.766319	150.312088	-0.382561	0.006560	107
