time (s)	magX	magY	magZ
266.488342	342.404449	183.854462	194.195801
266.491710	342.872009	184.146683	195.072479
266.495016	344.040924	184.029785	197.234955
266.498349	345.092926	184.906479	198.696091
266.501676	347.080078	184.848038	200.858566
266.505010	348.073639	185.374039	202.553482
266.508346	349.067200	185.549377	204.715973
266.511679	350.411469	186.309174	206.819992
266.515005	351.171234	186.601395	207.813568
266.518340	352.807709	187.244293	209.859161
266.521673	353.275269	188.179413	211.963181
266.525021	354.444183	188.880768	212.898300
266.528340	355.671539	189.757446	214.943878
266.531679	356.781982	189.932770	217.047928
266.535044	358.476898	189.874344	218.392181
266.538339	359.587372	191.160126	220.554642
266.541682	360.873169	191.686157	223.301575
266.545010	361.808289	192.913498	225.873184
266.548339	363.678558	193.556396	228.853897
266.551674	364.613678	194.082397	230.139679
266.555010	366.717682	194.783752	233.295731
266.558340	368.704834	194.900635	235.165985
266.561671	369.406189	196.011093	238.263580
266.565006	372.036255	196.537109	240.952087
266.568335	373.731140	197.589127	244.867920
266.571668	375.601379	198.115128	247.147278
266.575009	376.361176	199.284042	251.355347
266.578348	378.406799	199.868484	254.102264
266.581666	380.686127	201.504959	257.550537
266.585005	382.848633	202.264755	260.706604
266.588336	385.186432	202.440094	264.622437
266.591668	387.407349	203.550552	268.538269
266.595070	388.342468	204.953232	272.278778
266.598338	390.914093	206.005264	277.012848
266.601667	391.849213	207.524841	281.571594
266.604997	394.829926	208.343079	286.305664
266.608333	396.349487	208.927536	290.630615
266.611670	398.395081	210.096420	295.072479
266.615002	400.557556	210.973114	300.507904
266.618339	403.187622	212.258911	304.832825
266.621687	404.940948	213.135605	309.976013
266.624998	407.687897	214.187592	315.236115
266.628333	410.025726	215.122726	320.320862
266.631665	411.428406	216.525406	325.639374
266.636380	416.396271	218.337219	337.679138
266.639729	418.558746	218.980118	343.348328
266.643077	420.896545	219.856812	350.127991
266.646388	422.474579	220.967270	356.498535
266.649709	425.572144	222.077728	361.817078
266.653027	427.325531	223.363510	368.362946
266.656438	429.663361	223.714203	374.616608
266.659780	432.118042	225.116898	380.987152
266.663075	434.397400	225.350662	387.883698
266.666027	435.916992	227.104019	394.721802
266.669648	438.722382	228.097610	402.202789
266.672977	441.761536	228.097610	408.631805
266.676376	443.924011	229.091171	416.229675
266.679731	445.794250	230.260086	423.476929
266.683075	447.781433	231.019882	430.548798
266.686355	450.294556	231.779648	438.322021
266.689723	452.106384	232.597900	445.861481
266.693012	453.801300	233.123901	455.212738
266.696393	455.203949	234.000580	463.979523
266.699319	456.782013	234.585037	471.518982
266.703017	458.418457	235.461716	479.292236
266.706379	460.697845	235.929276	488.994171
266.709733	462.100494	236.864395	498.403900
266.712643	463.795410	237.624191	507.579803
266.716369	464.672150	238.033310	516.755737
266.719692	466.600800	238.325546	526.691406
266.722606	468.646393	238.793106	535.808838
266.725911	470.049103	239.319107	546.095215
266.729272	470.808899	239.611343	555.212769
266.732922	471.101105	240.195786	566.025146
266.736284	473.088257	240.429550	577.071289
266.739673	473.263611	240.546463	587.766846
266.743001	473.848053	240.546463	598.637573
266.745940	474.432465	240.546463	610.852661
266.749277	475.309174	240.312668	622.307983
266.752567	474.958527	240.546463	633.529541
266.755834	475.542969	239.903580	644.867920
266.759194	474.607849	238.968430	657.784302
266.762519	474.900055	238.851547	669.414917
266.765858	474.841583	238.208664	682.448242
266.769251	474.666260	237.331955	694.546509
266.772579	472.620667	236.338394	706.703125
266.775936	471.510223	235.695496	719.093506
266.779161	470.458221	234.877243	731.133301
266.782519	469.172424	233.649887	744.984863
266.785822	467.477509	232.422562	758.719482
266.789184	465.899475	230.318527	771.519043
266.792519	463.503204	229.091171	783.850952
266.795954	461.808289	227.220917	796.650513
266.799246	459.879578	225.233765	809.859131
266.802598	456.665100	223.480408	824.938110
266.805832	453.684387	220.324371	837.912842
266.809158	450.937469	218.980118	850.595581
266.812493	447.781433	217.051437	864.680908
266.815852	443.865601	214.187592	878.006470
266.819208	439.949738	211.849777	891.507324
266.822567	434.806549	208.985977	905.066650
266.825906	430.247772	206.531265	917.398560
266.829223	425.864410	202.673859	930.841064
266.832494	420.954987	199.810043	944.809448
266.835825	415.461121	196.595551	958.953247
266.839199	409.382812	192.796616	970.934570
266.842509	403.187622	188.705414	985.370605
266.845866	397.226196	184.438919	997.644043
266.849236	390.154297	181.107544	1011.437256
266.852562	383.842194	177.016357	1025.347168
266.855906	375.776733	172.399170	1037.854492
266.859157	368.587952	167.898880	1051.121582
266.862489	359.938049	163.223251	1063.395142
266.865849	351.112793	158.430740	1077.363525
266.869185	342.813568	153.287552	1088.234375
266.872564	334.338989	147.793686	1101.618408
266.875905	324.753967	143.001160	1113.950317
266.879257	314.233765	137.273529	1124.996582
266.882487	304.648743	131.604324	1137.211548
266.885820	294.187012	125.175331	1149.192871
266.889175	282.907043	118.804787	1159.946777
266.892518	272.270020	112.434242	1171.577393
266.895843	260.756287	105.829926	1180.694946
266.899224	249.476334	98.758034	1191.799561
266.902571	237.728806	91.569260	1200.975464
266.905471	225.163055	84.906487	1209.742187
266.909154	213.415543	77.250145	1219.911743
266.912497	200.966675	70.236702	1228.152588
266.915816	188.050262	62.697258	1235.925903
266.919176	175.367615	55.157806	1244.283447
266.922509	161.691406	47.793694	1250.829346
266.925464	148.891876	40.371132	1257.784302
266.928750	134.923431	32.247223	1264.680908
266.932089	121.948563	24.473993	1268.947388
266.935411	108.856812	17.109877	1274.149170
266.938722	95.063705	8.693747	1279.175415
266.942057	81.329041	1.271187	1282.974365
266.945395	68.412628	-6.677382	1285.896606
266.948752	54.385742	-14.099941	1289.987793
266.952061	40.241966	-23.626534	1291.741211
266.955391	27.208649	-31.458212	1294.897095
266.958722	12.305084	-38.822327	1296.066040
266.962079	-1.312683	-46.595558	1296.708984
266.965416	-15.105785	-54.368790	1297.234985
266.968783	-27.963764	-61.499123	1295.773926
266.972070	-41.990650	-69.213905	1295.598511
266.975395	-54.731731	-76.987144	1294.897095
266.978728	-68.524841	-84.643486	1293.669800
266.982062	-81.791931	-92.124489	1292.150146
266.985381	-94.708359	-99.430161	1289.111084
266.988726	-108.150787	-106.969604	1286.188721
266.992067	-121.476334	-113.807716	1282.039185
266.995382	-134.684982	-121.288727	1278.240234
266.998746	-146.724731	-128.535950	1273.798340
267.002081	-159.641144	-135.607834	1268.947388
267.005412	-172.616013	-143.264175	1263.804199
267.008757	-185.240219	-149.985397	1257.199951
267.012070	-197.396851	-156.940384	1251.238525
267.015379	-209.553482	-163.369385	1242.939209
267.018725	-219.956757	-170.032150	1237.270020
267.022057	-231.879608	-176.987152	1228.152588
267.025385	-243.568695	-183.591476	1220.262451
267.028747	-255.199310	-189.026901	1211.670898
267.032058	-266.011688	-195.280548	1203.371704
267.034960	-276.298065	-201.008194	1192.793213
267.038739	-286.935150	-206.618942	1184.201660
267.041641	-296.578613	-212.580368	1175.376343
267.044983	-307.332550	-217.957352	1165.440674
267.048296	-316.683807	-223.042084	1155.621948
267.051625	-325.392181	-227.425476	1143.348389
267.054958	-335.210999	-233.562256	1131.367065
267.058285	-343.568695	-237.770325	1121.080688
267.061625	-352.218567	-242.679718	1109.450073
267.064953	-359.407379	-245.777328	1099.689697
267.068288	-366.829926	-250.336075	1087.942261
267.071650	-374.544708	-254.602585	1075.610229
267.074955	-381.149048	-257.992401	1065.090088
267.078289	-387.519592	-261.089996	1051.998291
267.081621	-394.123901	-264.187622	1041.244263
267.084962	-399.617767	-268.337219	1030.081299
267.088282	-405.403839	-270.675049	1015.820557
267.091613	-411.131531	-273.421967	1005.534302
267.094955	-415.865570	-276.402679	993.552979
267.098283	-420.541199	-278.389832	981.454712
267.101617	-424.924622	-281.662750	970.525391
267.104954	-429.658691	-283.065460	957.667480
267.108286	-433.457611	-285.461700	945.686157
267.111618	-438.250153	-286.805939	932.419067
267.114970	-441.815338	-288.851532	921.197510
267.118288	-445.088257	-291.306244	909.508423
267.121622	-447.601410	-292.358276	898.520752
267.124950	-450.523651	-293.585632	885.721313
267.128289	-453.445953	-294.579193	874.499756
267.131621	-456.426666	-295.864990	861.875488
267.134952	-460.050262	-296.858551	850.011108
267.138285	-462.037415	-298.027466	837.211548
267.141618	-464.492126	-299.021027	826.399170
267.144948	-466.829926	-299.430145	815.645264
267.148286	-468.232635	-299.254822	803.371704
267.151616	-469.518433	-300.599060	792.734619
267.154947	-471.388672	-301.183502	783.149536
267.158292	-472.557587	-301.592621	770.583862
267.161614	-474.369385	-301.884857	759.479248
267.164943	-475.304504	-302.293976	748.783691
267.168273	-474.836914	-302.469299	738.322021
267.171612	-476.590302	-302.293976	727.158936
267.174942	-476.473419	-302.293976	715.528320
267.178279	-477.350098	-302.060181	706.352417
267.181637	-477.233215	-301.709534	695.949219
267.184942	-476.824097	-301.241943	685.896484
267.188279	-477.466980	-301.475739	675.843994
267.191616	-477.876099	-301.534180	666.901855
267.194984	-477.993011	-300.715942	657.375244
267.198279	-477.934540	-300.014587	647.147217
267.201639	-477.116302	-300.014587	637.445312
267.204941	-477.174744	-299.956177	628.678589
267.208273	-476.590302	-298.962585	619.911743
267.211610	-475.187622	-298.027466	610.794312
267.214945	-474.953857	-297.209229	603.371704
267.218278	-474.194061	-297.267670	595.072510
267.221603	-472.615997	-296.507874	587.883667
267.224942	-472.031555	-295.046753	579.467529
267.228278	-471.388672	-294.462280	571.168335
267.231610	-470.921082	-293.760956	563.395020
267.234940	-469.284637	-293.351837	556.615479
267.238298	-468.641724	-292.475128	551.004639
267.241603	-467.881958	-291.014008	542.705444
267.244946	-466.362366	-290.254211	536.627075
267.248270	-465.836334	-289.962006	530.081177
267.251603	-464.199890	-288.617767	523.885986
267.254946	-463.381683	-288.267090	516.755737
267.258279	-462.154297	-287.273499	510.385162
267.261600	-461.277618	-286.279938	504.482147
267.264938	-460.108704	-284.994141	497.994781
267.268272	-458.238464	-284.526581	493.436005
267.271600	-457.069550	-283.416107	487.182343
267.274938	-454.965546	-282.305664	481.396240
267.278266	-453.971954	-281.604340	476.253082
267.281639	-453.329041	-280.026276	469.531860
267.284936	-450.757446	-279.208038	466.083588
267.288267	-450.348328	-278.565155	459.596161
267.291603	-448.887207	-277.337799	453.926941
267.294933	-447.718292	-276.753357	449.543518
267.298264	-446.958496	-275.818237	442.880768
267.301596	-445.614258	-274.766235	437.562225
267.304936	-443.860901	-273.889526	434.523102
267.308264	-442.808868	-273.129730	428.970764
267.311594	-442.691986	-272.136169	424.704254
267.314926	-440.529541	-270.733490	420.028625
267.318267	-439.068359	-270.558167	415.586792
267.321601	-438.425507	-269.564575	411.612518
267.324943	-436.789032	-268.687897	407.813538
267.328322	-435.620117	-268.161896	404.365295
267.331608	-435.094116	-266.876099	399.981873
267.334934	-433.516083	-266.291626	396.475159
267.338260	-431.587372	-265.707184	393.026886
267.341589	-431.762695	-264.479828	389.637054
267.344925	-430.652222	-263.953827	386.948578
267.348256	-430.301575	-263.252502	384.084747
267.351591	-428.723572	-262.200470	381.571564
267.354958	-427.613129	-262.200470	378.064880
267.358260	-426.444183	-261.499115	375.668610
267.361596	-425.801270	-260.622437	373.564575
267.364926	-425.041473	-259.979553	370.992981
267.368263	-424.573944	-259.453522	369.531830
267.371596	-422.879028	-258.226166	367.661591
267.374925	-422.294556	-258.518402	364.797791
267.378257	-421.826996	-258.459961	362.752197
267.381583	-420.833435	-257.174164	360.998840
267.384947	-420.658112	-256.940369	360.063721
267.388258	-419.839844	-256.823486	358.485687
267.391591	-419.313873	-256.472809	356.323181
267.394918	-418.261871	-256.414398	355.037415
267.398267	-417.794281	-255.829941	353.284058
267.401624	-416.742279	-254.777908	352.524261
267.404919	-417.618958	-254.135010	351.238464
267.408258	-416.099365	-254.544144	350.127991
267.411599	-416.333160	-253.959686	348.433075
267.414922	-416.099365	-253.316788	347.790192
267.418259	-415.339569	-253.667450	346.971954
267.421590	-414.638245	-252.849228	346.095276
267.424922	-414.404449	-252.966095	345.569244
267.428250	-414.170654	-252.440094	344.867920
267.431582	-414.053772	-251.680313	343.640564
267.434916	-413.703094	-251.446533	342.763885
267.438253	-412.709534	-251.563416	342.413208
267.441608	-413.235535	-251.738770	341.770325
267.444914	-413.352448	-251.271210	341.945648
267.448257	-413.293976	-250.862076	342.120972
267.451589	-413.644653	-251.914093	341.068970
267.454920	-413.586182	-251.271210	341.244293
267.458249	-413.177124	-250.628281	339.900055
267.461587	-413.469299	-250.745178	339.900055
267.464993	-413.293976	-250.920517	339.900055
267.468253	-413.469299	-251.154312	340.016968
267.471576	-412.709534	-251.095840	341.653412
267.474920	-413.703094	-251.271210	341.010529
267.478250	-413.001770	-251.212738	342.471649
267.481583	-414.229095	-251.504974	342.296326
267.484942	-413.586182	-252.147873	342.705444
267.488241	-414.813568	-252.264771	342.939209
267.491577	-415.573364	-252.089432	344.400360
267.494913	-415.222687	-252.206329	344.926361
267.498257	-415.924011	-252.381668	346.212158
267.501580	-416.391602	-252.790756	347.205719
267.504914	-416.976013	-253.258331	348.959076
267.508244	-416.742279	-252.966095	350.011108
267.511580	-418.028076	-253.258331	352.524261
267.514908	-418.437195	-253.258331	354.336060
267.518247	-419.080078	-253.784348	355.329620
267.521576	-420.015198	-254.719467	357.433685
267.524909	-420.190521	-254.602585	359.070129
267.528257	-420.891846	-255.128571	361.933960
267.531580	-422.294556	-255.888367	363.628876
267.534916	-422.586761	-256.239014	366.142029
267.538251	-423.405029	-256.531250	368.421387
267.541582	-424.457031	-256.765045	371.109894
267.544908	-424.632416	-257.758606	374.207458
267.548241	-427.145538	-257.875519	376.077728
267.551572	-426.677979	-258.869080	378.415527
267.554906	-427.729980	-258.927521	381.513153
267.558279	-429.074249	-259.219757	384.143219
267.561574	-430.009369	-259.570435	387.123932
267.564902	-430.944489	-259.862671	389.637054
267.568237	-431.879608	-260.447113	392.676208
267.571584	-432.814728	-261.148437	395.423126
267.574903	-434.684998	-262.141998	398.403870
267.578234	-435.620117	-262.141998	402.144379
267.581568	-436.672119	-262.609558	405.300415
267.584903	-438.250153	-263.369354	408.573334
267.588235	-438.542358	-264.187622	412.138519
267.591574	-439.360626	-264.655182	414.943878
267.594904	-441.289337	-265.356506	419.385712
267.598232	-442.399780	-266.408539	423.243134
267.601582	-442.925781	-267.226776	426.749847
267.604953	-443.977783	-267.577423	431.308594
267.608245	-445.438904	-268.687897	435.224426
267.611564	-446.783173	-269.506134	439.607819
267.614908	-447.835205	-270.032135	444.867889
267.618235	-449.237885	-270.558167	449.075989
267.621569	-450.991241	-270.791931	453.926941
267.624899	-451.867920	-272.253052	460.706604
267.628230	-453.738159	-273.012848	464.213318
267.631564	-454.731750	-273.947968	470.116333
267.634896	-457.011139	-274.473999	475.960815
267.638236	-457.946259	-275.000000	481.104034
267.641568	-460.050262	-276.110443	487.416107
267.644917	-461.219177	-276.811798	492.851532
267.648228	-462.388092	-277.513123	498.286957
267.651565	-463.264740	-278.974274	504.482147
267.654892	-465.485657	-279.032715	511.787811
267.658226	-465.602600	-279.500275	517.340088
267.661565	-468.407959	-280.260071	524.295166
267.664895	-468.641724	-280.610748	531.133301
267.668234	-469.810638	-281.428955	538.088257
267.671561	-470.862671	-282.247223	544.984863
267.674892	-472.206879	-283.766785	552.232056
267.678251	-473.843384	-283.240784	559.420776
267.681596	-474.544708	-283.942139	567.310913
267.684895	-475.246033	-284.701935	574.441284
267.688241	-476.765625	-284.818817	582.097656
267.691555	-477.583893	-285.578583	589.929321
267.694896	-478.343689	-285.695496	597.176514
267.698225	-479.454132	-286.163055	605.475708
267.701567	-480.389252	-287.331940	613.541260
267.704886	-480.623047	-286.805939	622.658691
267.708223	-480.564606	-287.799500	630.198120
267.711562	-481.032135	-287.507294	637.912964
267.714895	-481.675049	-289.026855	645.744629
267.718219	-482.201050	-288.091736	654.453003
267.721557	-482.259521	-289.026855	663.219727
267.724912	-482.610168	-289.494446	673.447754
267.728222	-482.610168	-289.026855	680.753418
267.731557	-483.545288	-289.085327	689.870850
267.734890	-483.253052	-289.202209	698.286987
267.738221	-483.136169	-288.910004	708.164185
267.741546	-483.253052	-289.202209	717.398560
267.744884	-483.194641	-288.091736	726.399170
267.748216	-482.317932	-288.267090	737.270020
267.751555	-481.149048	-288.383972	746.796631
267.754944	-481.791931	-287.916412	756.849243
267.758223	-480.564606	-287.741089	765.791382
267.761550	-479.687927	-286.163055	776.019287
267.764890	-479.746338	-285.929260	787.065430
267.768218	-478.577423	-285.286377	797.176514
267.771553	-477.466980	-284.234375	807.579712
267.774898	-476.473419	-283.708344	819.035156
267.778215	-473.960266	-282.539459	831.133179
267.781548	-472.382263	-280.376984	839.666260
267.784883	-469.869080	-279.675629	851.705933
267.788219	-467.881958	-278.448273	862.226196
267.791550	-466.479248	-276.694916	873.097046
267.794884	-463.147888	-275.409119	884.844482
267.798212	-461.511414	-273.305084	896.124512
267.801547	-457.069550	-272.253052	908.924072
267.804884	-453.621277	-270.850372	919.035156
267.808213	-450.932800	-268.395691	929.964355
267.811571	-446.783173	-266.116302	941.068970
267.814876	-444.679108	-264.129150	953.751587
267.818209	-439.652832	-262.434235	965.090088
267.821545	-435.795441	-259.511993	975.317871
267.824876	-431.762695	-257.349518	987.299194
267.828216	-426.736389	-254.661011	998.871460
267.831549	-422.586761	-251.563416	1009.800659
267.834877	-417.502075	-249.400955	1021.022217
267.838217	-412.826447	-246.127991	1032.536011
267.841544	-406.981903	-242.855057	1042.237915
267.844874	-402.247803	-239.289902	1053.284058
267.848208	-396.870850	-236.016937	1064.680908
267.851545	-390.675629	-232.334900	1073.272339
267.854917	-384.363556	-228.945068	1085.136719
267.858212	-378.635895	-225.204559	1094.078857
267.861546	-372.031555	-220.996506	1103.722412
267.864877	-365.368805	-216.846878	1113.891846
267.868207	-358.063110	-212.931046	1122.483276
267.871543	-350.932800	-208.722977	1134.114014
267.874881	-344.036255	-204.690247	1142.179443
267.878202	-335.912354	-199.897720	1150.829346
267.881539	-328.080658	-195.280548	1159.713013
267.884870	-321.008789	-190.429581	1169.531860
267.888202	-312.241974	-185.052612	1175.434814
267.891536	-303.533600	-180.669205	1184.844604
267.896234	-286.350677	-170.382828	1201.267700
267.899599	-276.940979	-165.064285	1208.807129
267.902944	-267.940369	-159.044418	1215.119263
267.906327	-258.238464	-153.316772	1222.892456
267.909609	-249.062531	-147.706024	1228.503174
267.912478	-238.951477	-142.270599	1234.289307
267.915792	-228.372879	-135.374054	1242.237915
267.919136	-218.320282	-129.587967	1247.030396
267.922799	-208.384583	-123.334305	1251.647583
267.926161	-197.455292	-116.846870	1258.544189
267.929091	-186.467575	-111.060783	1263.979614
267.932406	-176.298065	-104.573349	1267.369385
267.935793	-164.609009	-97.618347	1272.454102
267.939146	-152.861481	-91.247803	1274.967285
267.942467	-141.815323	-84.059036	1277.480469
267.945719	-130.535370	-77.454704	1279.526001
267.949068	-119.196960	-69.915253	1282.272949
267.952377	-107.098785	-63.953827	1283.734131
267.955735	-94.883682	-57.466393	1286.714844
267.959072	-83.253067	-50.686729	1288.468140
267.962476	-71.914673	-43.381065	1291.039673
267.965804	-59.933376	-36.952076	1290.689087
267.969044	-48.302746	-30.523087	1290.513794
267.972385	-35.561661	-23.918760	1289.812500
267.975705	-25.216831	-15.385740	1289.987793
267.979081	-12.651081	-9.248978	1288.760498
267.982409	-0.903564	-2.410872	1287.007080
267.985832	11.369959	4.310345	1284.435425
267.989125	24.344828	11.323786	1282.857422
267.992403	35.215664	17.635885	1282.272949
267.995717	46.320282	23.947985	1277.597290
267.999044	58.067795	29.967852	1275.434814
268.002382	69.055527	35.987724	1271.986572
268.005735	80.919930	42.708939	1267.427856
268.009096	92.024551	49.547050	1263.687256
268.012487	102.369370	55.216255	1259.303955
268.015795	113.532440	61.820580	1255.329712
268.019031	124.227936	67.665108	1249.134399
268.022392	134.280548	73.860313	1242.997681
268.025713	145.911163	79.704849	1238.205078
268.029110	156.898880	85.900063	1232.126831
268.032397	166.133255	91.978378	1227.159058
268.035860	176.653427	96.537117	1219.444214
268.039120	186.939804	103.199883	1212.080078
268.042443	196.758621	108.518410	1205.767944
268.045710	206.986557	114.362953	1199.222168
268.049046	215.928696	119.739922	1191.273560
268.052393	225.572174	124.415550	1183.675659
268.055723	235.215668	129.792511	1176.545288
268.059074	244.333130	135.344818	1167.720093
268.061962	253.275269	139.962006	1158.485718
268.065305	261.574524	144.579193	1150.595581
268.068645	270.399780	149.605484	1143.523682
268.071989	278.465210	154.164230	1132.536011
268.075279	286.706024	159.307419	1124.295166
268.078615	294.771484	163.573929	1114.651611
268.081946	303.070709	168.132660	1105.534302
268.085275	311.369934	172.223846	1096.182983
268.088614	318.441833	175.789001	1087.825317
268.091940	325.338379	179.529510	1077.947998
268.095318	332.585632	183.562225	1067.603149
268.098638	340.008179	187.302734	1058.076538
268.101972	346.144928	191.043259	1047.556519
268.105336	352.457031	193.848633	1037.094727
268.108618	358.769135	197.822906	1027.334351
268.111945	364.263000	200.511383	1017.924683
268.115306	369.990631	203.725876	1007.813599
268.118610	375.893616	206.589691	999.105225
268.121943	381.796600	209.219742	988.468140
268.125273	386.180023	212.142014	978.123291
268.128605	391.264740	214.479828	968.830566
268.131991	395.765045	217.051437	959.362305
268.135310	400.615997	218.863220	948.316162
268.138633	404.999420	220.499710	939.549438
268.141977	408.798370	223.421982	927.801880
268.145276	412.714203	225.058426	918.158447
268.148600	416.220917	227.279373	908.222778
268.151932	420.078308	229.383392	899.455933
268.155274	423.117493	230.961411	889.812378
268.158615	426.565735	233.065460	880.928711
268.161937	429.487976	234.468155	871.226685
268.165275	432.293427	236.163071	861.758667
268.168629	435.624786	237.098190	851.822876
268.171959	438.605499	238.442429	843.056152
268.175320	440.884888	240.312668	833.295776
268.178637	443.222656	241.423141	824.119751
268.181944	444.859131	242.884262	814.943970
268.185271	448.248962	243.994736	807.404419
268.188633	450.002350	245.163651	796.299805
268.191938	451.989471	246.332535	788.058960
268.195271	453.450623	247.209244	779.642944
268.198600	455.320892	247.910568	770.993042
268.201944	456.898865	248.085892	762.635376
268.205283	458.009338	249.196365	753.342529
268.208630	459.236725	250.248367	743.991211
268.211969	460.639374	251.183517	736.042725
268.215270	462.217438	251.943314	727.801880
268.218631	463.620087	252.001724	718.976685
268.221936	463.620087	252.527756	711.378662
268.225268	464.379883	253.345993	703.956177
268.228600	465.198120	253.112228	696.241333
268.231950	466.367065	253.462875	687.708374
268.235257	466.951477	253.930435	679.818237
268.238598	467.711243	253.755112	672.220337
268.241955	467.185272	254.397995	665.732910
268.245291	468.178833	255.040909	659.011719
268.248641	469.055511	254.631790	652.290527
268.251932	468.471039	254.631790	644.458862
268.255267	468.237305	253.696640	638.322021
268.258595	468.763306	254.456436	631.308594
268.261962	468.412628	254.105789	624.821167
268.265264	468.821716	254.982468	617.924561
268.268596	468.646393	253.930435	611.963135
268.271931	468.354187	253.755112	605.534180
268.275295	467.886597	254.047348	599.338989
268.278618	467.594391	253.813553	593.845093
268.281951	467.828186	253.696640	588.760376
268.285356	466.776123	253.404434	583.324951
268.288594	467.126801	253.229080	577.947998
268.291924	466.834595	252.586197	572.921753
268.295259	466.483917	253.345993	566.901855
268.298593	465.841003	252.586197	561.349487
268.301921	465.665680	252.118637	556.615479
268.305283	465.315002	252.177078	552.115112
268.308586	464.905884	251.767960	547.030396
268.311940	463.912354	251.125076	542.997681
268.315279	464.029205	251.592636	537.445312
268.318618	463.269409	250.715958	532.477539
268.321996	462.918762	250.365280	527.860352
268.325249	462.100494	249.897720	524.002930
268.328593	461.457642	249.430161	520.087158
268.331930	460.814728	249.663925	514.943848
268.335255	460.931641	248.144363	511.203400
268.338587	459.587372	248.202805	506.878448
268.341921	459.470459	248.436600	501.969025
268.345245	458.652252	248.670364	498.754547
268.348633	458.301605	248.144363	495.014069
268.351948	457.541809	247.209244	491.331940
268.355272	456.782013	246.917007	487.416107
268.358612	455.846893	246.332535	483.792542
