time (s)	det(V)
967.041737	0.363520	
967.043290	0.376394	
967.044998	0.393603	
967.046561	0.400729	
967.048250	0.405394	
967.049814	0.410280	
967.051525	0.440634	
967.053035	0.435337	
967.054791	0.447273	
967.056273	0.455837	
967.058062	0.465307	
967.059548	0.472877	
967.061336	0.478802	
967.062829	0.489606	
967.064621	0.502308	
967.066097	0.499814	
967.067886	0.531666	
967.069367	0.527106	
967.071139	0.559679	
967.072641	0.553411	
967.074379	0.568235	
967.075886	0.570922	
967.077619	0.610194	
967.079153	0.593267	
967.080892	0.607970	
967.082424	0.592892	
967.084132	0.655972	
967.085683	0.655178	
967.087356	0.666268	
967.088921	0.658256	
967.090590	0.695316	
967.092171	0.680061	
967.093831	0.726222	
967.095421	0.706551	
967.097067	0.737614	
967.098673	0.697427	
967.100314	0.778135	
967.101932	0.708602	
967.103541	0.799892	
967.105210	0.776918	
967.106807	0.815207	
967.108488	0.820359	
967.110085	0.840751	
967.111755	0.822350	
967.113343	0.863164	
967.115043	0.856389	
967.116605	0.882021	
967.118323	0.889957	
967.119877	0.920242	
967.121589	0.927493	
967.123130	0.935549	
967.124852	0.966326	
967.126389	0.957459	
967.128119	0.988578	
967.129594	1.014307	
967.131386	1.018505	
967.132866	1.026211	
967.134655	1.053092	
967.136138	1.073225	
967.137911	1.069326	
967.139403	1.097198	
967.141207	1.096485	
967.142688	1.123946	
967.144466	1.147411	
967.145972	1.149896	
967.147708	1.191791	
967.149217	1.179122	
967.150930	1.229331	
967.152458	1.225415	
967.154176	1.253899	
967.155725	1.242487	
967.157439	1.300870	
967.158990	1.264526	
967.160687	1.347203	
967.162240	1.309494	
967.163909	1.357947	
967.165489	1.339098	
967.167137	1.409562	
967.168744	1.373963	
967.170378	1.427069	
967.171997	1.409421	
967.173646	1.458454	
967.175267	1.458740	
967.176903	1.489391	
967.178588	1.470095	
967.180170	1.508864	
967.181835	1.501065	
967.183421	1.550811	
967.185100	1.513114	
967.186705	1.565965	
967.188388	1.546041	
967.189953	1.577386	
967.191658	1.536047	
967.193201	1.575799	
967.194908	1.558892	
967.196447	1.592597	
967.198161	1.589140	
967.199672	1.604996	
967.201438	1.590522	
967.202936	1.625951	
967.204730	1.602567	
967.206210	1.594957	
967.207996	1.598828	
967.209477	1.594353	
967.211260	1.607203	
967.212744	1.572709	
967.214476	1.592524	
967.215982	1.564165	
967.217735	1.572169	
967.219241	1.540176	
967.220981	1.557292	
967.222508	1.531213	
967.224252	1.523471	
967.225783	1.495135	
967.227503	1.500996	
967.229051	1.442453	
967.230743	1.477878	
967.232299	1.436838	
967.233995	1.450353	
967.235558	1.381915	
967.237232	1.423931	
967.238812	1.404607	
967.240451	1.378636	
967.242039	1.330671	
967.243669	1.355474	
967.245291	1.298022	
967.246898	1.298006	
967.248568	1.269408	
967.250158	1.272619	
