crossing time (s)	slope (V/s)	crossing number
1791.461989	-22.972427	582
1792.511187	-20.540465	583
1793.530844	-19.541773	584
1794.590887	-18.071062	585
1795.628581	-17.810332	586
1796.654830	-16.142425	587
1797.700044	-14.890933	588
1798.737409	-15.020898	589
1799.793610	-14.147210	590
1800.811146	-12.098948	591
1801.855393	-11.651507	592
1802.905275	-11.082356	593
1803.922964	-10.363253	594
1804.960389	-9.039477	595
1805.988581	-8.492141	596
1807.043981	-8.563492	597
1808.096442	-7.550729	598
1809.121579	-7.271077	599
1810.157203	-6.619441	600
1811.202185	-6.793547	601
1812.243525	-6.086835	602
1813.293561	-5.841248	603
1814.312288	-4.981049	604
1815.375066	-4.497980	605
1816.381661	-4.517976	606
1817.446742	-3.417816	607
1818.457314	-4.540192	608
1819.542071	-3.646029	609
1820.548278	-3.078239	610
1821.605501	-2.474486	611
1822.626286	-3.196631	612
1823.689183	-3.314866	613
1824.711048	-2.429465	614
1825.767548	-1.395602	615
1826.800286	-2.008198	616
1827.840422	-0.819912	617
1828.872857	-1.929846	618
1829.949432	-1.468772	619
1830.942276	-1.781244	620
1832.050778	-0.392697	621
1833.016130	-1.006354	622
1834.133791	-0.366147	623
1835.109967	-0.749703	624
